"filename", "language", "Markdown", "Ini", "Swift", "JSON with Comments", "C++", "YAML", "CMake", "XML", "JSON", "Dart", "HTML", "Properties", "comment", "blank", "total"
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\linux\runner\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 13
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 1, 69
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\mobile_gaya_ant.code-workspace", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 46, 16, 104
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 15, 5, 39
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\matia\Documents\ISPGAYA\mobile_gaya_ant\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 0, 0, 2, 0, 0, 2, 0, 0, 68, 553, 0, 0, 168, 134, 927
